"#","Paenungulata",,,
30269,20269,"rheMac8","Rhesus macaque","Macaca mulatta"
30270,20270,"papHam1","Baboon hamadryas","Papio hamadryas"
30271,20271,"papAnu2","Baboon anubis","Papio anubis"
30272,20272,"nasLar1","Proboscis monkey","Nasalis larvatus"
30273,20273,"rhiRox1","Golden snub-nosed monkey","Rhinopithecus roxellana"
30274,20274,"calJac1","Common marmoset","Callithrix jacchus"
30275,20275,"calJac3","Common marmoset","Callithrix jacchus"
30276,20276,"saiBol1","Squirrel monkey","Saimiri boliviensis"
30277,20277,"tarSyr1","Philippine tarsier","Tarsius syrichta"
30278,20278,"tarSyr2","Philippine tarsier","Tarsius syrichta"
30279,20279,"micMur1","Mouse lemur","Microcebus murinus"
30280,20280,"micMur2","Mouse lemur","Microcebus murinus"
30281,20281,"otoGar3","Bushbaby","Otolemur garnettii"
30282,20282,,,
30283,20283,,,
30284,20284,,,
30285,20285,,,
30286,20286,,,
30287,20287,,,
30288,20288,,,
30289,20289,,,
"#","Dermoptera",,,
30290,20290,"galVar1","Malayan flying lemur","Galeopterus variegatus"
"#","Scandentia",,,
30291,20291,"tupBel1","Tree shrew","Tupaia glis"
"#","Eulipotyphla",,,
30292,20292,"eriEur2","Hedgehog","Erinaceus europaeus"
30293,20293,"sorAra2","Common shrew","Sorex araneus"
30294,20294,,,
30295,20295,,,
30296,20296,,,
30297,20297,,,
30298,20298,,,
30299,20299,,,
"#","Non-mammals",,,
30300,20300,"galGal5","Chicken","Gallus gallus"
30301,20301,"allMis1","American alligator","Alligator mississippiensis"
30302,20302,"anoCar2","Carolina anole lizard","Anolis carolinensis"
30303,20303,"aptMan1","Brown kiwi","Apteryx mantelli"
30304,20304,"calMil1","Elephant shark","Callorhinchus milii"
30305,20305,"danRer10","Zebrafish","Danio rerio"
30306,20306,"chrPic1","Painted turtle","Chrysemys picta"
30307,20307,"dm6","Fruit fly","Drosophila melanogaster"
30308,20308,"xenTro7","Western clawed frog","Xenopus tropicalis"
30309,20309,"sacCer3","Yeast","Saccharomyces cerevisiae"
30310,20310,"petMar2","Sea lamprey","Petromyzon marinus"
30311,20311,"taeGut2","Zebra finch","Taeniopygia guttata"
30312,20312,"fr2","Puffer fish","Fugu rubripes"
30313,20313,"latCha1","Coelacanth","Latimeria chalumnae"
30314,20314,"melGal1","Turkey","Meleagris gallopavo"
30315,20315,"geoFor1","Medium ground finch","Geospiza fortis"
30316,20316,"melUnd1","Budgerigar","Melopsittacus undulatus"
"#","HiC Genomes",,,
